"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
28,"Ramus",204,153,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002397","Ramus","","","","","","","","",""
29,"Seta",226,173,88,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001681","Seta","","","","","","","","",""
30,"Trunk Limb 1",201,136,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001682","Trunk Limb 1","","","","","","","","",""
31,"Copulatory Hook",138,77,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0004339","vault of skull","Uberon","http://purl.obolibrary.org/obo/UBERON_0002229","Copulatory Hook","","","","","","","","",""
32,"Setae of Trunk Limb 1",226,173,88,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0018348","Setae of Trunk Limb 1","","","","","","","","",""
33,"Trunk Limb 2",201,136,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002244","Trunk Limb 2","","","","","","","","",""
34,"Trunk Limb 3",201,136,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0008828","Trunk Limb 3","","","","","","","","",""
35,"Filter Plate 3",138,77,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_2000240","Filter Plate 3","","","","","","","","",""
36,"Trunk Limb 4",201,136,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_3000619","Trunk Limb 4","","","","","","","","",""
37,"Filter Plate 4",138,77,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006721","Filter Plate 4","","","","","","","","",""
38,"Trunk Limb 5",201,136,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001692","Trunk Limb 5","","","","","","","","",""
39,"Muscular",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006428","Muscular","","","","","","","","",""
40,"Antennal Muscle",0,0,153,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004742","Antennal Muscle","","","","","","","","",""
41,"Antennule Muscle",13,36,204,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0001693","Antennule Muscle","","","","","","","","",""
